ID,LOCATION,AREA,PUBLIC,PRIVATE,DATE_ADDED,LONGITUDE,LATITUDE,STAND_TYPE,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
43bs,Howth Station 1,Howth,8, ,Pre 2021,-5.925703333,53.38875861, ,728092.1003,739349.8039,
44bs,Howth Station 2,Howth,14, ,Pre 2021,-5.926521389,53.38886083, ,728146.1977,739362.6651,
45bs,Howth - Balscadden Road,Howth,10, ,Pre 2021,-5.936230556,53.38843306, ,728793.2446,739332.5385,
46bs,College Rd/ Castleknock,Castleknock,10, ,Pre 2021,-5.637279167,53.37290833, ,708949.0765,737107.3523,
47bs,Ongar Village,Ongar,4, ,Pre 2021,-5.560108889,53.39577222, ,703758.7011,739536.2259,
48bs,Ongar Village,Ongar,2, ,Pre 2021,-5.560261667,53.39592167, ,703768.5056,739553.0818,
49bs,Sutton (Existing Private Property),Howth, ,5,Pre 2021,-5.890778611,53.39059222, ,725763.8382,739491.6919,
50bs,Sutton Train Station (Existing Bike Parking Location Private Property),Howth,15, ,Pre 2021,-5.883535278,53.39190972, ,725278.2357,739625.5307,
51bs,Baldoyle (Existing Bike Parking Reserved),Howth,14, ,Pre 2021,-5.874203611,53.39662639, ,724643.8492,740133.9407,
52bs,Portmarnock Train Station  (Existing Bike Parking Private Property),Howth, ,20,Pre 2021,-5.849003056,53.41816056, ,722905.9543,742486.0602,
53bs,Portmarnock (Beach Access),Howth,10, ,Pre 2021,-5.875543889,53.43276, ,724627.2772,744156.4141,
54bs,Swords - Garda Station,Swords,12, ,Pre 2021,-5.778616389,53.45625778, ,718121.9772,746605.7489,
55bs,Swords (Existing Bike Parking Location Private Property),Swords,10, ,Pre 2021,-5.762101667,53.44683556, ,717051.2145,745530.1965,
56bs,Phoenix Park Gates at Castlekno,Castleknock,10, ,Pre 2021,-5.651237778,53.36980389, ,709885.8301,736783.3754,
57bs,Coolmine Train Station,Castleknock, ,46,Pre 2021,-5.60872,53.37750194, ,707037.2802,737575.2395,
58bs,Porterstown Park Car Park,Castleknock,20, ,Pre 2021,-5.596199167,53.371405, ,706219.43,736878.19,
59bs,Clonsilla Road (at station),Castleknock, ,36,Pre 2021,-5.577021944,53.38298889, ,704914.9,738138.67,
60bs,Clonsilla Road (near station),Castleknock,24, ,Pre 2021,-5.576913056,53.3832675, ,704906.9751,738169.4951,
61bs,Beechpark,Castleknock,6, ,Pre 2021,-5.575291944,53.38137444, ,704803.7874,737956.5051,
62bs,Bus stop on Castleknock Road @ Laurel Lodge ,Castleknock,8, ,Pre 2021,-5.630378333,53.380855, ,708469.7084,737981.0071,
63bs,Bus stop at Gowan Motors on the N3,Castleknock,4, ,Pre 2021,-5.666895278,53.37263306, ,710920.3644,737122.3406,
64bs,Millennium Park 1,Blanchardstown,12, ,Pre 2021,-5.599471944,53.38750889, ,706397.0589,738674.7864,
65bs,Carpenter Pub,Castleknock, ,10,Pre 2021,-5.610943056,53.37224111, ,707198.4025,736993.2475,
66bs,Lidl - Castleknock,Castleknock, ,32,Pre 2021,-5.637593056,53.37322389, ,708969.1414,737142.9571,
67bs,Castleknock -  De Brurns Carpark,Castleknock, ,13,Pre 2021,-5.639654722,53.37286028, ,709107.2542,737105.6508,
68bs,Fingal County Council Offices 1,Blanchardstown,10, ,Pre 2021,-5.607216389,53.3908925, ,706903.7018,739062.8474,
