ZONENAME,POSTALSTREETNAME,UNITNUMBER,LOCATION,OUTSIDE,OPPOSITE,EASTING,NORTHING,OBJECTID
BALDOYLE,ABBEY PARK,1,S/O 113 GRANGE ROAD,,,323618.491,240111.13,0
BALDOYLE,ABBEY PARK,2,O/S 5/6 ABBY PK,05-Jun,,323608,240065,1
BALDOYLE,ABBEY PARK,3,O/S 9/10 ABBY PK,09-Oct,,323599,240029,2
BALDOYLE,ABBEY PARK,4,O/S 13/14 ABBY PK,13/14,,323592.888,239993.093,3
BALDOYLE,ABBEY PARK,5,O/S 16 ABBY PK,16,,323587,239966,4
BALDOYLE,ABBEY PARK,6,O/S 17/18 ABBY PK,17/18,,323579,239932,5
BALDOYLE,ABBEY PARK,7,O/S 21/22 ABBY PK,21/22,,323572,239898,6
BALDOYLE,ABBEY PARK,8,O/S 25/26 ABBY PK,25/26,,323565,239862,7
BALDOYLE,ABBEY PARK,9,O/S 29/30 ABBY PK,29/30,,323558,239827,8
BALDOYLE,ABBEY PARK,10,O/S 33/34 ABBY PK,33/34,,323550,239792,9
BALDOYLE,ABBEY PARK,11,O/S 37/38 ABBY PK,37/38,,323547,239760,10
BALDOYLE,ABBEY PARK,12,O/S 41/42 ABBY PK,41/42,,323553,239727,11
BALDOYLE,ABBEY PARK,13,O/S 45/46 ABBY PK,45/46,,323561,239691,12
BALDOYLE,ABBEY PARK,14,O/S 50 ABBY PK,50,,323571,239647,13
BALDOYLE,ABBEY PARK,15,OPP 68/69 ABBY PK,,68/69,323602,239679,14
BALDOYLE,ABBEY PARK,16,O/S 55/56 ABBY PK,55/56,,323642,239669,15
BALDOYLE,ABBEY PARK,17,O/S 59/60 ABBY PK,59/60,,323677,239660,16
BALDOYLE,ABBEY PARK,18,O/S 73/74 ABBY PK,73/74,,323579,239765,17
BALDOYLE,ABBEY PARK,19,O/S 77/78 ABBY PK,77/78,,323615,239757,18
BALDOYLE,ABBEY PARK,20,O/S 81/82 ABBY PK,81/82,,323650,239747,19
BALDOYLE,ABBEY PARK,21,O/S 84/84A ABBY PK,84/84A,,323678,239743,20
BALDOYLE,ABBEY PARK,22,S/O 85 ABBY PK,85,,323672,239772,21
BALDOYLE,ABBEY PARK,23,O/S 112/113 ABBY PK,112/113,,323668,239804,22
BALDOYLE,ABBEY PARK,24,O/S 108/109 ABBY PK,108/109,,323663,239841,23
BALDOYLE,ABBEY PARK,25,OPP 107 ABBY PK,,107,323659,239873,24
BALDOYLE,ABBEY PARK,26,OPP 104/105 AT BUS STOP,,104/105,323634,239890,25
BALDOYLE,ABBEY PARK,27,OPP 102/103 ABBY PK,,102/103,323601,239908,26
HOWTH,ABBEY STREET,1,O/S 1 ABBY ST,1,,328815,239277,27
HOWTH,ABBEY STREET,2,O/S 6 ABBY ST,6,,328787,239234,28
HOWTH,ABBEY STREET,3,O/S 10/11 ABBY ST,10-Nov,,328772,239197,29
HOWTH,ABBEY STREET,4,O/S 14E ABBY ST,14E,,328758,239156,30
HOWTH,ABBEY STREET,5,O/S 19 ABBY ST,19,,328758,239121,31
HOWTH,ABBEY STREET,6,O/S 21/22 ABBY ST,21/22,,328759,239086,32
HOWTH,ABBEY STREET,7,OPP ENT TO ST. LAWRENCES RD,,,328768,239060,33
SWORDS,ABBEYLEA AVENUE,1,O/S 1 ABBYLA AVE,1,,317363,247352,34
SWORDS,ABBEYLEA AVENUE,2,O/S 9 ABBYLA AVE,9,,317339,247323,35
SWORDS,ABBEYLEA AVENUE,3,O/S 25 ABBYLA AVE,25,,317335,247266,36
SWORDS,ABBEYLEA AVENUE,4,LANE B/W 23/25 ABBYLA AVE,,,317365,247268,37
SWORDS,ABBEYLEA AVENUE,5,O/S 39 ABBYLA AVE,39,,317356,247211,38
SWORDS,ABBEYLEA AVENUE,14,S/O 2 ABBYLA DRV,,,317404,247173,39
SWORDS,ABBEYLEA AVENUE,15,O/S 60/62 ABBYLA AVE,60/62,,317374,247181,40
SWORDS,ABBEYLEA AVENUE,16,LANE 40/42 ABBYLA AVE,,,317296,247209,41
SWORDS,ABBEYLEA AVENUE,17,O/S 36 ABBYLA AVE,36,,317327,247236,42
SWORDS,ABBEYLEA AVENUE,18,O/S 18 ABBYLA AVE,18,,317327,247294,43
SWORDS,ABBEYLEA AVENUE,33,O/S 8 ABBYLA AVE,8,,317337,247345,44
SWORDS,ABBEYLEA AVENUE,34,LANE S/O 8 ABBYLA AVE,,,317318,247374,45
SWORDS,ABBEYLEA CLOSE,31,S/O 12 ABBYLA GRN,,,317266,247403,46
SWORDS,ABBEYLEA CLOSE,32,O/S 11/14 ABBYLA CLS,,,317299,247423,47
SWORDS,ABBEYLEA DRIVE,6,O/S 11 ABBYLA DRV,11,,317406,247275,48
SWORDS,ABBEYLEA DRIVE,7,LANE S/O 25 ABBYLA DRV,,,317387,247331,49
SWORDS,ABBEYLEA DRIVE,8,O/S 25 ABBYLA DRV,25,,317403,247304,50
SWORDS,ABBEYLEA DRIVE,9,OPP 1/3 ABBYLA DRV,01-Mar,,317433,247267,51
SWORDS,ABBEYLEA DRIVE,10,O/S 22/24 ABBYLA DRV,22/24,,317442,247245,52
SWORDS,ABBEYLEA DRIVE,11,O/S 12/14 ABBYLA DRV,Dec-14,,317420,247218,53
SWORDS,ABBEYLEA DRIVE,12,O/S 2/4 ABBYLA DRV,02-Apr,,317398,247191,54
SWORDS,ABBEYLEA DRIVE,13,LANE B/W 6/8 ABBYLA DRV,,,317432,247184,55
SWORDS,ABBEYLEA GREEN,19,S/O 10 ABBYLA AVE,,,317323,247333,56
SWORDS,ABBEYLEA GREEN,20,O/S 1/3 ABBYLA GRN,01-Mar,,317291,247342,57
SWORDS,ABBEYLEA GREEN,21,O/S 7/7A ABBYLA GRN,7/7A,,317270,247359,58
SWORDS,ABBEYLEA GREEN,22,PEDWAY TO ELMWD DRV,,,317226,247366,59
SWORDS,ABBEYLEA GREEN,23,PEDWAY TO ELMWD DRV,,,317201,247354,60
SWORDS,ABBEYLEA GREEN,24,OPP ENT ABBYLA CLS,,,317247,247383,61
SWORDS,ABBEYLEA GREEN,25,O/S 9 ABBYLA GRN,9,,317209,247440,62
SWORDS,ABBEYLEA GREEN,26,O/S 13/15 ABBYLA GRN,13/15,,317221,247463,63
SWORDS,ABBEYLEA GREEN,27,O/S 25/27 ABBYLA GRN,25/27,,317234,247506,64
SWORDS,ABBEYLEA GREEN,28,O/S 30/32 ABBYLA GRN,30/32,,317247,247480,65
SWORDS,ABBEYLEA GREEN,29,IN LANE S/O 18 ABBYLA GRN,,,317252,247440,66
SWORDS,ABBEYLEA GREEN,30,O/S 16/18 ABBYLA GRN,16/18,,317237,247414,67
SWORDS,ABBEYLEA GREEN,    024A,FLOODLIGHT,,,317244,247379,68
SWORDS,ABBEYVALE ESTATE,1,OPP S/O 2 ABBYVLE GRN,,,316125,246947,69
SWORDS,ABBEYVALE ESTATE,2,OPP S/O 1 ABBYVLE WY,,,316131,246979,70
SWORDS,ABBEYVALE ESTATE,3,S/O 2 ABBYVLE RSE,,,316134,247007,71
SWORDS,ABBEYVALE ESTATE,4,O/S 36/38 ABBYVLE WY,36/38,,316115,246943,72
SWORDS,ABBEYVALE ESTATE,5,O/S 28/30 ABBYVLE WY,28/30,,316085,246950,73
SWORDS,ABBEYVALE ESTATE,6,O/S 20/22 ABBYVLE WY,20/22,,316056,246955,74
SWORDS,ABBEYVALE ESTATE,7,O/S 12/14 ABBYVLE WY,Dec-14,,316027,246963,75
SWORDS,ABBEYVALE ESTATE,8,O/S 4/6 ABBYVLE WY,04-Jun,,315995,246969,76
SWORDS,ABBEYVALE ESTATE,9,S/O 11 ABBYVLE WY,,,316037,246997,77
SWORDS,ABBEYVALE ESTATE,10,O/S 15/17 ABBYVLE DRV,15/17,,316046,247027,78
SWORDS,ABBEYVALE ESTATE,11,O/S 3/5 ABBYVLE DRV,03-May,,316052,247075,79
SWORDS,ABBEYVALE ESTATE,12,O/S 21/23 ABBYVLE PLC,21/23,,316036,247111,80
SWORDS,ABBEYVALE ESTATE,13,O/S 13/15 ABBYVLE PLC,13/15,,316066,247107,81
SWORDS,ABBEYVALE ESTATE,14,O/S 5/7 ABBYVLE PLC,05-Jul,,316097,247104,82
SWORDS,ABBEYVALE ESTATE,15,O/S 13/15 ABBYVLE RSE,13/15,,316069,247032,83
SWORDS,ABBEYVALE ESTATE,16,O/S 5/7 ABBYVLE RSE,05-Jul,,316102,247029,84
SWORDS,ABBEYVALE ESTATE,17,S/O 1 ABBYVLE RSE,,,316131,247038,85
SWORDS,ABBEYVALE ESTATE,18,OPP ENT ABBYVLE LWN,,,316126,247068,86
SWORDS,ABBEYVALE ESTATE,19,OPP 5/7 ABBYVLE AVE,,05-Jul,316123,247101,87
SWORDS,ABBEYVALE ESTATE,20,OPP 15/17 ABBYVLE AVE,15/17,,316113,247138,88
SWORDS,ABBEYVALE ESTATE,21,OPP 23 ABBYVLE AVE,,23,316116,247177,89
SWORDS,ABBEYVALE ESTATE,22,OPP S/O 2 ABBYVLE CLS,,,316125,247207,90
SWORDS,ABBEYVALE ESTATE,23,O/S 53/55 ABBYVLE CRT,53/55,,316102,247170,91
SWORDS,ABBEYVALE ESTATE,24,O/S 45/47 ABBYVLE CRT,45/47,,316075,247167,92
SWORDS,ABBEYVALE ESTATE,25,O/S 29/31 ABBYVLE CRT,29/31,,316045,247188,93
SWORDS,ABBEYVALE ESTATE,26,O/S 21 ABBYVLE CRT,21,,316049,247221,94
SWORDS,ABBEYVALE ESTATE,27,O/S 17/19 ABBYVLE CRT,17/19,,316073,247250,95
SWORDS,ABBEYVALE ESTATE,28,O/S 9/11 ABBYVLE CRT,09-Nov,,316099,247255,96
SWORDS,ABBEYVALE ESTATE,29,O/S 1/3 ABBYVLE CRT,01-Mar,,316130,247251,97
SWORDS,ABBEYVALE ESTATE,30,S/O 1 ABBYVLE CRT,,,316144,247277,98
SWORDS,ABBEYVALE ESTATE,31,S/O 2 ABBYVLE GRV,,,316147,247313,99
SWORDS,ABBEYVALE ESTATE,32,O/S 33/35 ABBYVLE GRV,33/35,,316107,247334,100
SWORDS,ABBEYVALE ESTATE,33,O/S 21/23 ABBYVLE GRV,21/23,,316151,247331,101
SWORDS,ABBEYVALE ESTATE,34,O/S 13/15 ABBYVLE GRV,13/15,,316179,247332,102
SWORDS,ABBEYVALE ESTATE,35,O/S 1/3 ABBYVLE GRV,01-Mar,,316223,247333,103
SWORDS,ABBEYVALE ESTATE,36,O/S 31/33 ABBYVLE CRES,31/33,,316204,247302,104
SWORDS,ABBEYVALE ESTATE,37,O/S 25/27 ABBYVLE CRES,25/27,,316203,247280,105
SWORDS,ABBEYVALE ESTATE,38,O/S 17/19 ABBYVLE CRES,17/19,,316202,247252,106
SWORDS,ABBEYVALE ESTATE,39,O/S 5/7 ABBYVLE CRES,05-Jul,,316174,247248,107
SWORDS,ABBEYVALE ESTATE,40,OPP ENT ABBYVLE CRT,,,316144,247239,108
SWORDS,ABBEYVALE ESTATE,41,O/S 2/4 ABBYVLE CLS,02-Apr,,316148,247188,109
SWORDS,ABBEYVALE ESTATE,42,O/S 10/12 ABBYVLE CLS,10-Dec,,316177,247185,110
SWORDS,ABBEYVALE ESTATE,43,O/S 18/20 ABBYVLE CLS,18/20,,316207,247181,111
SWORDS,ABBEYVALE ESTATE,44,S/O 1 ABBYVLE AVE,,,316157,247076,112
SWORDS,ABBEYVALE ESTATE,45,O/S 6/8 ABBYVLE LWN,06-Aug,,316186,247080,113
SWORDS,ABBEYVALE ESTATE,46,O/S 14/16 ABBYVLE LWN,14/16,,316216,247087,114
SWORDS,ABBEYVALE ESTATE,47,O/S 25/27 ABBYVLE VW,25/27,,316239,247004,115
SWORDS,ABBEYVALE ESTATE,48,O/S 17/19 ABBYVLE VW,17/19,,316209,246997,116
SWORDS,ABBEYVALE ESTATE,49,O/S 9/11 ABBYVLE VW,09-Nov,,316180,246994,117
SWORDS,ABBEYVALE ESTATE,50,O/S 1/3 ABBYVLE VW,01-Mar,,316150,246995,118
SWORDS,ABBEYVALE ESTATE,51,O/S 2/4 ABBYVLE GRN,02-Apr,,316141,246930,119
SWORDS,ABBEYVALE ESTATE,52,O/S 10/12 ABBYVLE GRN,10-Dec,,316173,246926,120
SWORDS,ABBEYVALE ESTATE,53,O/S 18/20 ABBYVLE GRN,18/20,,316203,246923,121
SWORDS,ABBEYVALE ESTATE,54,O/S 26/28 ABBYVLE GRN,26/28,,316236,246926,122
KINSEALY,ABBYWELL KINSEALY,1,ON CHAPEL RD,,,321380,243187,123
KINSEALY,ABBYWELL KINSEALY,2,ON CHAPEL RD,,,321418,243182,124
KINSEALY,ABBYWELL KINSEALY,3,ON CHAPEL RD,,,321451,243177,125
KINSEALY,ABBYWELL KINSEALY,4,ON CHAPEL RD,,,321490,243170,126
KINSEALY,ABBYWELL KINSEALY,5,OPP 5/6 ABYWL,,5,321504,243190,127
KINSEALY,ABBYWELL KINSEALY,6,OPP 1 ABYWL,,1,321506,243224,128
KINSEALY,ABBYWELL KINSEALY,7,@ ENT OFF CHAPEL RD,,,321396,243196,129
KINSEALY,ABBYWELL KINSEALY,8,OPP 18 ABYWL,,18,321376,243223,130
KINSEALY,ABBYWELL KINSEALY,9,O/S 36 ABYWL,,36,321391,243264,131
KINSEALY,ABBYWELL KINSEALY,10,O/S 39 ABYWL,39,,321396,243287,132
KINSEALY,ABBYWELL KINSEALY,11,,,,321407,243297,133
KINSEALY,ABBYWELL KINSEALY,12,OPP 26/27 ABYWL,,26/27,321446,243268,134
KINSEALY,ABBYWELL KINSEALY,13,O/S 31 ABYWL,31,,321468,243248,135
KINSEALY,ABBYWELL KINSEALY,14,O/S 21/22 ABYWL,21/22,,321410,243254,136
KINSEALY,ABBYWELL KINSEALY,15,O/S 19 ABYWL,19,,321386,243238,137
KINSEALY,ABBYWELL KINSEALY,16,O/S 17/18 ABYWL,17/18,,321406,243203,138
KINSEALY,ABBYWELL KINSEALY,17,O/S 15/16 ABYWL,15/16,,321429,243195,139
KINSEALY,ABBYWELL KINSEALY,18,O/S 9/10 ABYWL,09-Oct,,321465,243189,140
MALAHIDE,ABINGTON ENTRANCE ROAD,1,1ST OFF SWORDS RD,,,320985,245740,141
MALAHIDE,ABINGTON ENTRANCE ROAD,2,ABINGTON ENT RD,LHS,,320978,245706,142
MALAHIDE,ABINGTON ENTRANCE ROAD,3,ABINGTON ENT RD,RHS,,320959,245692,143
MALAHIDE,ABINGTON ENTRANCE ROAD,4,BEFORE ENT CSTLHTH,LHS,,320958,245660,144
MALAHIDE,ABINGTON ENTRANCE ROAD,5,ABINGTON ENT RD,RHS,,320937,245640,145
MALAHIDE,ABINGTON ENTRANCE ROAD,6,ABINGTON ENT RD,LHS,,320933,245599,146
BALDOYLE,ADMIRAL PARK,1,S/O 119 AP,,,324258,240204,147
BALDOYLE,ADMIRAL PARK,2,S/O 1 AP,,,324246,240223,148
BALDOYLE,ADMIRAL PARK,3,O/S 65/66 AP,65/66,,324222,240262,149
BALDOYLE,ADMIRAL PARK,4,O/S 71/72 AP,71/72,,324189,240244,150
BALDOYLE,ADMIRAL PARK,5,O/S 75/76 AP,75/76,,324165,240230,151
BALDOYLE,ADMIRAL PARK,6,O/S 77 AP,77,,324134,240215,152
BALDOYLE,ADMIRAL PARK,7,O/S 81/82 AP,81/82,,324113,240247,153
BALDOYLE,ADMIRAL PARK,8,O/S 59/60 AP,59/60,,324259,240281,154
BALDOYLE,ADMIRAL PARK,9,O/S 53/54 AP,53/54,,324296,240302,155
BALDOYLE,ADMIRAL PARK,10,O/S 47/48 AP,47/48,,324330,240321,156
BALDOYLE,ADMIRAL PARK,11,O/S 41/42 AP,41/42,,324368,240343,157
BALDOYLE,ADMIRAL PARK,12,O/S 35/36 AP,35/36,,324408,240358,158
BALDOYLE,ADMIRAL PARK,13,O/S 30/31 AP,30/31,,324446,240372,159
BALDOYLE,ADMIRAL PARK,14,O/S 21/22 AP,21/22,,324473,240383,160
BALDOYLE,ADMIRAL PARK,15,O/S 27/28 AP,27/28,,324451,240405,161
CLOGHRAN,AIRPORT R/BOUT MONUMENT,1,,,,317726,243465,162
CLOGHRAN,AIRPORT R/BOUT MONUMENT,2,,,,317726.076,243465.109,163
CLOGHRAN,AIRPORT R/BOUT MONUMENT,3,,,,317726.076,243465.109,164
CLOGHRAN,AIRPORT R/BOUT MONUMENT,4,,,,317726.076,243465.109,165
CLOGHRAN,AIRPORT R/BOUT MONUMENT,5,,,,317726.076,243465.109,166
CLOGHRAN,AIRPORT R/BOUT MONUMENT,6,,,,317726.076,243465.109,167
SWORDS,AIRSIDE IND ESTATE,1,1ST OFF PINNOCK HILL RBT,,,318007,245850,168
SWORDS,AIRSIDE IND ESTATE,2,ENT TRAVEL LODGE,,,318014,245825,169
SWORDS,AIRSIDE IND ESTATE,3,OPP ENT TRAVEL LODGE,,,318010,245795,170
SWORDS,AIRSIDE IND ESTATE,4,OPP TRAVEL LODGE,,,318027,245767,171
SWORDS,AIRSIDE IND ESTATE,5,ALONG FRANK MC GOWANS,,,318059,245740,172
SWORDS,AIRSIDE IND ESTATE,6,ALONG FRANK MC GOWANS,,,318086,245726,173
SWORDS,AIRSIDE IND ESTATE,7,ALONG FRANK MC GOWANS,,,318126,245714,174
SWORDS,AIRSIDE IND ESTATE,8,OPP ENT FRANK MC GOWANS,,,318156,245722,175
SWORDS,AIRSIDE IND ESTATE,9,OPP S/O B&Q,,,318186,245713,176
SWORDS,AIRSIDE IND ESTATE,10,OPP S/O B&Q,,,318208,245692,177
SWORDS,AIRSIDE IND ESTATE,11,OPP S/O B&Q,,,318234,245659,178
SWORDS,AIRSIDE IND ESTATE,12,ON MAIN RBT,,,318260,245635,179
SWORDS,AIRSIDE IND ESTATE,13,ON MAIN RBT,,,318286,245632,180
SWORDS,AIRSIDE IND ESTATE,14,1ST OFF AIRSIDE RBT,,,318315,245640,181
SWORDS,AIRSIDE IND ESTATE,15,LAKEVIEW DRV,,,318347,245638,182
SWORDS,AIRSIDE IND ESTATE,16,LAKEVIEW DRV,,,318378,245632,183
SWORDS,AIRSIDE IND ESTATE,17,LAKEVIEW DRV,,,318406,245628,184
SWORDS,AIRSIDE IND ESTATE,18,LAKEVIEW DRV RBT,,,318432,245634,185
SWORDS,AIRSIDE IND ESTATE,19,LAKEVIEW DRV,,,318438,245656,186
SWORDS,AIRSIDE IND ESTATE,24,PAST ENT CAFE KENYA,,,318228,245764,187
SWORDS,AIRSIDE IND ESTATE,25,ENT CAFÉ KENYA,,,318258,245756,188
SWORDS,AIRSIDE IND ESTATE,26,PAST ENT W.S ATKINS,,,318290,245758,189
SWORDS,AIRSIDE IND ESTATE,27,O/S W.S ATKINS,,,318323,245758,190
SWORDS,AIRSIDE IND ESTATE,28,PAST ENT INGERSOLL ROND,,,318355,245755,191
SWORDS,AIRSIDE IND ESTATE,29,O/S INGERSOLL ROND,,,318374,245752,192
SWORDS,AIRSIDE IND ESTATE,30,O/S INGERSOLL ROND,,,318403,245749,193
SWORDS,AIRSIDE IND ESTATE,31,AT JUNCT O/S INGERSOLL ROND,,,318390,245968,194
SWORDS,AIRSIDE IND ESTATE,32,PAST ENT KELLOGS,,,318404,245942,195
SWORDS,AIRSIDE IND ESTATE,33,BEFORE ENT KELLOGS,,,318427,245907,196
SWORDS,AIRSIDE IND ESTATE,34,LAKEVIEW DRV,,,318448,245868,197
SWORDS,AIRSIDE IND ESTATE,35,LAKEVIEW DRV,,,318460,245827,198
SWORDS,AIRSIDE IND ESTATE,36,LAKEVIEW DRV,,,318465,245775,199
SWORDS,AIRSIDE IND ESTATE,37,OPP JUNCT,,,318461,245733,200
SWORDS,AIRSIDE IND ESTATE,38,LAKEVIEW DRV,,,318456,245682,201
SWORDS,AIRSIDE IND ESTATE,39,LAKEVIEW DRV RBT,,,318458,245620,202
SWORDS,AIRSIDE IND ESTATE,40,LAKEVIEW DRV RBT,,,318454,245598,203
SWORDS,AIRSIDE IND ESTATE,41,LAKEVIEW DRV RBT,,,318421,245602,204
SWORDS,AIRSIDE IND ESTATE,42,1ST AFTER LAKEVIEW DRV RBT,,,318394,245614,205
SWORDS,AIRSIDE IND ESTATE,43,LAKEVIEW DRV,,,318358,245621,206
SWORDS,AIRSIDE IND ESTATE,44,LAKEVIEW DRV,,,318320,245621,207
SWORDS,AIRSIDE IND ESTATE,45,ON MAIN ROUNDABOUT,,,318306,245592,208
SWORDS,AIRSIDE IND ESTATE,46,ON MAIN ROUNDABOUT,,,318283,245571,209
SWORDS,AIRSIDE IND ESTATE,47,ON MAIN ROUNDABOUT,,,318258,245565,210
SWORDS,AIRSIDE IND ESTATE,48,O/S CITY GATE RENAULT,,,318225,245534,211
SWORDS,AIRSIDE IND ESTATE,49,O/S AIRSIDE FORD,,,318199,245505,212
SWORDS,AIRSIDE IND ESTATE,50,O/S AIRSIDE CHEREROLET,,,318115.207,245444.712,213
SWORDS,AIRSIDE IND ESTATE,51,O/S V.H.I SWIFTCARE,,,317993.3,245400.899,214
SWORDS,AIRSIDE IND ESTATE,52,2ND FROM TRAFFIC LIGHTS RHS,,,317825,245291,215
SWORDS,AIRSIDE IND ESTATE,53,1ST FROM TRAFFIC LIGHTS RHS,,,317783,245294,216
SWORDS,AIRSIDE IND ESTATE,54,1ST FROM TRAFFIC LIGHTS LHS,,,317790,245314,217
SWORDS,AIRSIDE IND ESTATE,55,2ND FROM TRAFFIC LIGHTS LHS,,,317830,245311,218
SWORDS,AIRSIDE IND ESTATE,56,OPP ENT CHINESE REST,,,317854,245321,219
SWORDS,AIRSIDE IND ESTATE,57,OPP PREMIER INN,,,317879,245344,220
SWORDS,AIRSIDE IND ESTATE,58,OPP ENT PREMIER INN,,,317911,245379,221
SWORDS,AIRSIDE IND ESTATE,59,O/S D.I.D CP,,,317946,245397,222
SWORDS,AIRSIDE IND ESTATE,60,O/S CASH & CARRY KTCHNS CP,,,318031,245436,223
SWORDS,AIRSIDE IND ESTATE,61,OPP AIRSIDE CHVEROLET,,,318075,245453,224
SWORDS,AIRSIDE IND ESTATE,62,OPP WINDSOR AIRSIDE,,,318135.085,245467.024,225
SWORDS,AIRSIDE IND ESTATE,63,OPP ENT AIRSIDE MOTOR PARK,,,318169.365,245491.974,226
SWORDS,AIRSIDE IND ESTATE,64,OPP AIRSIDE FORD,,,318184,245516,227
SWORDS,AIRSIDE IND ESTATE,65,OPP CITYGATE RENAULT,,,318218,245554,228
SWORDS,AIRSIDE IND ESTATE,66,ON MAIN ROUNDABOUT,,,318242,245579,229
SWORDS,AIRSIDE IND ESTATE,67,ON MAIN ROUNDABOUT,,,318249,245597,230
SWORDS,AIRSIDE IND ESTATE,68,S/O B&Q,,,318244,245622,231
SWORDS,AIRSIDE IND ESTATE,69,DIST RD TO HOLYWELL RBT,,,318319,245568,232
SWORDS,AIRSIDE IND ESTATE,70,DIST RD TO HOLYWELL RBT,,,318302,245556,233
SWORDS,AIRSIDE IND ESTATE,71,DIST RD TO HOLYWELL RBT,,,318340,245540,234
SWORDS,AIRSIDE IND ESTATE,72,DIST RD TO HOLYWELL RBT,,,318324,245529,235
SWORDS,AIRSIDE IND ESTATE,73,DIST RD TO HOLYWELL RBT,,,318364,245515,236
SWORDS,AIRSIDE IND ESTATE,74,DIST RD TO HOLYWELL RBT,,,318341,245506,237
SWORDS,AIRSIDE IND ESTATE,75,DIST RD TO HOLYWELL RBT,,,318385,245490,238
SWORDS,AIRSIDE IND ESTATE,76,DIST RD TO HOLYWELL RBT,,,318367,245472,239
SWORDS,AIRSIDE IND ESTATE,77,DIST RD TO HOLYWELL RBT,,,318410,245456,240
SWORDS,AIRSIDE IND ESTATE,78,DIST RD TO HOLYWELL RBT,,,318386,245442,241
SWORDS,AIRSIDE IND ESTATE,79,DIST RD TO HOLYWELL RBT,,,318427,245431,242
SWORDS,AIRSIDE IND ESTATE,80,DIST RD TO HOLYWELL RBT,,,318409,245412,243
SWORDS,AIRSIDE IND ESTATE,81,DIST RD TO HOLYWELL RBT,,,318450,245406,244
SWORDS,AIRSIDE IND ESTATE,82,DIST RD TO HOLYWELL RBT,,,318432,245388,245
SWORDS,AIRSIDE IND ESTATE,83,DIST RD TO HOLYWELL RBT,,,318477,245378,246
SWORDS,AIRSIDE IND ESTATE,84,DIST RD TO HOLYWELL RBT,,,318462,245358,247
SWORDS,AIRSIDE IND ESTATE,85,DIST RD TO HOLYWELL RBT,,,318511,245346,248
SWORDS,AIRSIDE IND ESTATE,86,DIST RD TO HOLYWELL RBT,,,318493,245325,249
SWORDS,AIRSIDE IND ESTATE,87,DIST RD TO HOLYWELL RBT,,,318551,245319,250
SWORDS,AIRSIDE IND ESTATE,88,DIST RD TO HOLYWELL RBT,,,318535,245298,251
SWORDS,AIRSIDE IND ESTATE,89,DIST RD TO HOLYWELL RBT,,,318584,245293,252
SWORDS,AIRSIDE IND ESTATE,90,DIST RD TO HOLYWELL RBT,,,318576,245276,253
SWORDS,AIRSIDE IND ESTATE,91,DIST RD TO HOLYWELL RBT,,,318621,245272,254
SWORDS,AIRSIDE IND ESTATE,92,DIST RD TO HOLYWELL RBT,,,318614,245253,255
SWORDS,AIRSIDE IND ESTATE,93,DIST RD TO HOLYWELL RBT,,,318655,245253,256
SWORDS,AIRSIDE IND ESTATE,94,DIST RD TO HOLYWELL RBT,,,318650,245232,257
SWORDS,AIRSIDE IND ESTATE,95,HOLYWELL RBT,,,318680,245251,258
SWORDS,AIRSIDE IND ESTATE,96,HOLYWELL RBT,,,318669,245211,259
SWORDS,AIRSIDE IND ESTATE,97,HOLYWELL RBT,,,318708,245243,260
SWORDS,AIRSIDE IND ESTATE,98,HOLYWELL RBT,,,318699,245204,261
SWORDS,AIRSIDE IND ESTATE,99,DIST RD TO DRINAN INTERCHANGE,,,318728,245229,262
SWORDS,AIRSIDE IND ESTATE,100,DIST RD TO DRINAN INTERCHANGE,,,318724,245208,263
SWORDS,AIRSIDE IND ESTATE,101,DIST RD TO DRINAN INTERCHANGE,,,318758,245218,264
SWORDS,AIRSIDE IND ESTATE,102,DIST RD TO DRINAN INTERCHANGE,,,318755,245199,265
SWORDS,AIRSIDE IND ESTATE,103,DIST RD TO DRINAN INTERCHANGE,,,318793,245210,266
SWORDS,AIRSIDE IND ESTATE,104,DIST RD TO DRINAN INTERCHANGE,,,318790,245191,267
SWORDS,AIRSIDE IND ESTATE,105,DIST RD TO DRINAN INTERCHANGE,,,318827,245204,268
SWORDS,AIRSIDE IND ESTATE,106,DIST RD TO DRINAN INTERCHANGE,,,318826,245185,269
SWORDS,AIRSIDE IND ESTATE,107,DIST RD TO DRINAN INTERCHANGE,,,318862,245200,270
SWORDS,AIRSIDE IND ESTATE,108,DIST RD TO DRINAN INTERCHANGE,,,318860,245179,271
SWORDS,AIRSIDE IND ESTATE,109,DIST RD TO DRINAN INTERCHANGE,,,318899,245193,272
SWORDS,AIRSIDE IND ESTATE,110,DIST RD TO DRINAN INTERCHANGE,,,318898,245174,273
SWORDS,AIRSIDE IND ESTATE,111,BEFORE TRAFFIC LIGHTS,,,318941,245189,274
SWORDS,AIRSIDE IND ESTATE,112,BEFORE TRAFFIC LIGHTS,,,318940,245168,275
SWORDS,AIRSIDE IND ESTATE,113,AFTER TRAFFIC LIGHTS,,,318991,245184,276
SWORDS,AIRSIDE IND ESTATE,114,AFTER TRAFFIC LIGHTS,,,318992,245161,277
SWORDS,AIRSIDE IND ESTATE,115,DIST RD TO DRINAN INTERCHANGE,,,319036,245177,278
SWORDS,AIRSIDE IND ESTATE,116,DIST RD TO DRINAN INTERCHANGE,,,319033,245157,279
SWORDS,AIRSIDE IND ESTATE,117,DIST RD TO DRINAN INTERCHANGE,,,319073,245172,280
