X,Y,OBJECTID,LOCATION,AREA,ID,PUBLIC_,PRIVATE,DATE_ADDED,POINT_X,POINT_Y,STAND_TYPE,POINT_Z,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
720046.4266,764432.9066,32,Balbriggan - Bandstand playground,Balbriggan,0,5, ,2021,"-6° 11' 8.114""","53° 36' 57.417""",Sheffield stands bolted onto new concrete base,0,720046.4266,764432.9066,November
720049.2709,763086.8803,33,Balbriggan - Skatepark,Balbriggan,0,5, ,2021,"-6° 11' 9.825""","53° 36' 13.891""",Sheffield stands bolted onto new concrete base,0,720049.2709,763086.8803,November
729404.1759,737387.917,34,Howth - Summit Carpark,Howth - Malahide,0,5, ,2021,"-6° 3' 19.393""","53° 22' 14.944""",Sheffield stands bolted onto new concrete base,0,729404.1759,737387.917,November
729210.7783,737608.8313,35,Howth - Summit Inn Pub,Howth - Malahide,0,5, ,2021,"-6° 3' 29.524""","53° 22' 22.257""",Sheffield stands bolted onto new concrete base,0,729210.7783,737608.8313,November
728168.9554,739365.2661,36,Howth - Train station,Howth - Malahide,0,6, ,2021,"-6° 4' 23.288""","53° 23' 19.963""",Sheffield stand bolted down,0,728168.9554,739365.2661,December 
728302.3532,739320.4324,37,Howth - Insomnia Coffee,Howth - Malahide,0,2, ,2021,"-6° 4' 16.139""","53° 23' 18.397""",Sheffield stand bolted down,0,728302.3532,739320.4324,December
726259.9113,739651.7972,38,Howth - Burrow Beach,Howth - Malahide ,0,10, ,2021,"-6° 6' 6.134""","53° 23' 30.883""",Sheffield stands bolted onto new concrete base,0,726259.9113,739651.7972,December
707855.3862,737591.4425,39,Castleknock Community Centre,Castleknock,0, ,7,2021,"-6° 22' 44.343""","53° 22' 38.932""",Sheffield stands bolted onto new concrete base,0,707855.3862,737591.4425,December
706397.1803,737431.8713,40,Carpenterstown - Riverwood Playground & Tennis Courts,Castleknock,0,5, ,2021,"-6° 24' 3.401""","53° 22' 34.836""",Sheffield stands bolted onto new concrete base,0,706397.1803,737431.8713,December
707201.2058,742279.8862,41,Tyrellstown Playground,Blanchardstown,0,5, ,2021,"-6° 23' 13.992""","53° 25' 11.035""",Sheffield stands bolted onto new concrete base,0,707201.2058,742279.8862,December
718273.0775,746982.1602,42,Swords FCC Offices,Swords,0,6, ,Pre 2021,"-6° 13' 8.285""","53° 27' 34.578""", ,0,718273.0775,746982.1602,
728092.1003,739349.8039,43,Howth Station 1,Howth,0,8, ,Pre 2021,"-6° 4' 27.468""","53° 23' 19.531""", ,0,728092.1003,739349.8039,
728146.1977,739362.6651,44,Howth Station 2,Howth,0,14, ,Pre 2021,"-6° 4' 24.523""","53° 23' 19.899""", ,0,728146.1977,739362.6651,
728793.2446,739332.5385,45,Howth - Balscadden Road,Howth,0,10, ,Pre 2021,"-6° 3' 49.570""","53° 23' 18.359""", ,0,728793.2446,739332.5385,
708949.0765,737107.3523,46,College Rd/ Castleknock,Castleknock,0,10, ,Pre 2021,"-6° 21' 45.795""","53° 22' 22.470""", ,0,708949.0765,737107.3523,
703758.7011,739536.2259,47,Ongar Village,Ongar,0,4, ,Pre 2021,"-6° 26' 23.608""","53° 23' 44.780""", ,0,703758.7011,739536.2259,
703768.5056,739553.0818,48,Ongar Village,Ongar,0,2, ,Pre 2021,"-6° 26' 23.058""","53° 23' 45.318""", ,0,703768.5056,739553.0818,
725763.8382,739491.6919,49,Sutton (Existing Private Property),Howth - Malahide,0, ,5,Pre 2021,"-6° 6' 33.197""","53° 23' 26.132""", ,0,725763.8382,739491.6919,
725278.2357,739625.5307,50,Sutton Train Station (Existing Bike Parking Location Private Property),Howth - Malahide,0,15, ,Pre 2021,"-6° 6' 59.273""","53° 23' 30.875""", ,0,725278.2357,739625.5307,
724643.8492,740133.9407,51,Baldoyle (Existing Bike Parking Reserved),Howth - Malahide,0,14, ,Pre 2021,"-6° 7' 32.867""","53° 23' 47.855""", ,0,724643.8492,740133.9407,
722905.9543,742486.0602,52,Portmarnock Train Station  (Existing Bike Parking Private Property),Howth - Malahide,0, ,20,Pre 2021,"-6° 9' 3.589""","53° 25' 5.378""", ,0,722905.9543,742486.0602,
724627.2772,744156.4141,53,Portmarnock (Beach Access),Howth - Malahide,0,10, ,Pre 2021,"-6° 7' 28.042""","53° 25' 57.936""", ,0,724627.2772,744156.4141,
718121.9772,746605.7489,54,Swords - Garda Station,Swords,0,12, ,Pre 2021,"-6° 13' 16.981""","53° 27' 22.528""", ,0,718121.9772,746605.7489,
717051.2145,745530.1965,55,Swords (Existing Bike Parking Location Private Property),Swords,0,10, ,Pre 2021,"-6° 14' 16.434""","53° 26' 48.608""", ,0,717051.2145,745530.1965,
709885.8301,736783.3754,56,Phoenix Park Gates at Castlekno,Castleknock,0,10, ,Pre 2021,"-6° 20' 55.544""","53° 22' 11.294""", ,0,709885.8301,736783.3754,
707037.2802,737575.2395,57,Coolmine Train Station,Castleknock,0, ,46,Pre 2021,"-6° 23' 28.608""","53° 22' 39.007""", ,0,707037.2802,737575.2395,
706219.43,736878.19,58,Porterstown Park Car Park,Castleknock,0,20, ,Pre 2021,"-6° 24' 13.683""","53° 22' 17.058""", ,0,706219.43,736878.19,
704914.9,738138.67,59,Clonsilla Road (at station),Castleknock,0, ,36,Pre 2021,"-6° 25' 22.721""","53° 22' 58.760""", ,0,704914.9,738138.67,
704906.9751,738169.4951,60,Clonsilla Road (near station),Castleknock,0,24, ,Pre 2021,"-6° 25' 23.113""","53° 22' 59.763""", ,0,704906.9751,738169.4951,
704803.7874,737956.5051,61,Beechpark,Castleknock,0,6, ,Pre 2021,"-6° 25' 28.949""","53° 22' 52.948""", ,0,704803.7874,737956.5051,
708469.7084,737981.0071,62,Bus stop on Castleknock Road @ Laurel Lodge ,Castleknock,0,8, ,Pre 2021,"-6° 22' 10.638""","53° 22' 51.078""", ,0,708469.7084,737981.0071,
710920.3644,737122.3406,63,Bus stop at Gowan Motors on the N3,Castleknock,0,4, ,Pre 2021,"-6° 19' 59.177""","53° 22' 21.479""", ,0,710920.3644,737122.3406,
706397.0589,738674.7864,64,Millennium Park 1,Blanchardstown - Mul,0,12, ,Pre 2021,"-6° 24' 1.901""","53° 23' 15.032""", ,0,706397.0589,738674.7864,
707198.4025,736993.2475,65,Carpenter Pub,Castleknock,0, ,10,Pre 2021,"-6° 23' 20.605""","53° 22' 20.068""", ,0,707198.4025,736993.2475,
708969.1414,737142.9571,66,Lidl - Castleknock,Castleknock,0, ,32,Pre 2021,"-6° 21' 44.665""","53° 22' 23.606""", ,0,708969.1414,737142.9571,
709107.2542,737105.6508,67,Castleknock -  De Brurns Carpark,Castleknock,0, ,13,Pre 2021,"-6° 21' 37.243""","53° 22' 22.297""", ,0,709107.2542,737105.6508,
706903.7018,739062.8474,68,Fingal County Council Offices 1,Blanchardstown - Mul,0,10, ,Pre 2021,"-6° 23' 34.021""","53° 23' 27.213""", ,0,706903.7018,739062.8474,
706823.2682,739037.4473,69,Fingal County Council Offices  2,Blanchardstown - Mul,0,10, ,Pre 2021,"-6° 23' 38.403""","53° 23' 26.451""", ,0,706823.2682,739037.4473,
706997.6939,739076.6297,70,Blanchardstown Library,Blanchardstown - Mul,0, ,5,Pre 2021,"-6° 23' 28.919""","53° 23' 27.591""", ,0,706997.6939,739076.6297,
706972.7834,739326.291,71,Blanchardstown Shopping Centre (Yellow),Blanchardstown - Mul,0, ,24,Pre 2021,"-6° 23' 29.962""","53° 23' 35.683""", ,0,706972.7834,739326.291,
707021.7314,739619.9792,72,Crown Plaza - Blanchardstown,Blanchardstown - Mul,0, ,10,Pre 2021,"-6° 23' 26.956""","53° 23' 45.145""", ,0,707021.7314,739619.9792,
707127.0105,739543.3316,73,Curries - Blanchardstown,Blanchardstown - Mul,0, ,10,Pre 2021,"-6° 23' 21.353""","53° 23' 42.589""", ,0,707127.0105,739543.3316,
706740.7181,739443.8482,74,Blanchardstown - Retail Park,Blanchardstown - Mul,0, ,8,Pre 2021,"-6° 23' 42.375""","53° 23' 39.654""", ,0,706740.7181,739443.8482,
707141.8272,738963.3638,75,AIB - Blanchardstown Shopping Centre,Blanchardstown - Mul,0, ,4,Pre 2021,"-6° 23' 21.260""","53° 23' 23.822""", ,0,707141.8272,738963.3638,
707282.5858,739102.0057,76,Westend - Blanchardstown Shopping Centre 2,Blanchardstown - Mul,0, ,19,Pre 2021,"-6° 23' 13.475""","53° 23' 28.203""", ,0,707282.5858,739102.0057,
707410.6444,739098.8307,77,Civic offices - Snugborough Rd,Blanchardstown - Mul,0, ,6,Pre 2021,"-6° 23' 6.551""","53° 23' 28.007""", ,0,707410.6444,739098.8307,
707512.5345,739170.1866,78,Ebay,Blanchardstown - Mul,0, ,52,Pre 2021,"-6° 23' 0.952""","53° 23' 30.240""", ,0,707512.5345,739170.1866,
707524.4407,739108.0094,79,Offices adjacent to Ebay,Blanchardstown - Mul,0, ,10,Pre 2021,"-6° 23' 0.384""","53° 23' 28.220""", ,0,707524.4407,739108.0094,
707430.5134,739241.6242,80,Ben Dunnes,Blanchardstown - Mul,0, ,24,Pre 2021,"-6° 23' 5.301""","53° 23' 32.610""", ,0,707430.5134,739241.6242,
706588.8557,740364.6834,81,"Bridge, Church Road",Blanchardstown - Mul,0,10, ,Pre 2021,"-6° 23' 49.472""","53° 24' 9.544""", ,0,706588.8557,740364.6834,
706401.3539,739630.7279,82,Lidl - Blakestown,Blanchardstown - Mul,0, ,2,Pre 2021,"-6° 24' 0.509""","53° 23' 45.944""", ,0,706401.3539,739630.7279,
706120.432,738977.8672,83,Iceland - Mountview shoppings 3,Blanchardstown - Mul,0, ,10,Pre 2021,"-6° 24' 16.499""","53° 23' 25.034""", ,0,706120.432,738977.8672,
706058.2548,739028.1381,84,Iceland - Mountview shoppings 1 ,Blanchardstown - Mul,0, ,10,Pre 2021,"-6° 24' 19.802""","53° 23' 26.704""", ,0,706058.2548,739028.1381,
704433.356,739000.9727,85,Ongar Distributor/ Allendale Square,Ongar,0,10, ,Pre 2021,"-6° 25' 47.742""","53° 23' 26.991""", ,0,704433.356,739000.9727,
703655.0898,738564.0447,86,Ongar Train Station,Ongar,0, ,48,Pre 2021,"-6° 26' 30.363""","53° 23' 13.412""", ,0,703655.0898,738564.0447,
705155.7036,738238.395,87,Lidl - Clonsilla,Blanchardstown - Mul,0,6, ,Pre 2021,"-6° 25' 9.576""","53° 23' 1.813""", ,0,705155.7036,738238.395,
706903.7018,739062.8474,88,FCC Grove Rd,Blanchardstown - Mul,0,5, ,Pre 2021,"-6° 23' 34.021""","53° 23' 27.213""", ,0,706903.7018,739062.8474,
717845.1357,745980.6623,89,Swords Village off roundabout,Swords,0,10, ,Pre 2021,"-6° 13' 32.823""","53° 27' 2.538""", ,0,717845.1357,745980.6623,
717776.0429,746051.0726,90,Lidl -Swords Village,Swords,0, ,12,Pre 2021,"-6° 13' 36.471""","53° 27' 4.870""", ,0,717776.0429,746051.0726,
717574.3701,747257.8457,91,Dunnes - Rathbeale Road,Swords,0, ,6,Pre 2021,"-6° 13' 45.772""","53° 27' 44.056""", ,0,717574.3701,747257.8457,
718158.7664,746814.6677,92,Swords Village 1,Swords,0,8, ,Pre 2021,"-6° 13' 14.705""","53° 27' 29.254""", ,0,718158.7664,746814.6677,
717735.408,745459.1385,93,Airside Shopping Centre,Swords,0, ,20,Pre 2021,"-6° 13' 39.469""","53° 26' 45.762""", ,0,717735.408,745459.1385,
718140.7504,745637.9972,94,Airside Shopping Centre,Swords,0, ,16,Pre 2021,"-6° 13' 17.272""","53° 26' 51.219""", ,0,718140.7504,745637.9972,
720264.27,763607.34,95,Balbriggan City Hall,Balbriggan,0,14, ,Pre 2021,"-6° 10' 57.414""","53° 36' 30.542""", ,0,720264.27,763607.34,
720392.663,763824.8005,96,Quay Street Car Park 1,Balbriggan,0,10, ,Pre 2021,"-6° 10' 50.131""","53° 36' 37.468""", ,0,720392.663,763824.8005,
720265.504,763784.6367,97,Quay Street Car Park 1,Balbriggan,0,6, ,Pre 2021,"-6° 10' 57.100""","53° 36' 36.274""", ,0,720265.504,763784.6367,
720259.9706,763971.0287,98,Balbriggan Train Station,Balbriggan,0, ,26,Pre 2021,"-6° 10' 57.142""","53° 36' 42.306""", ,0,720259.9706,763971.0287,
720230.1417,764337.5545,99,Bath Road Carpark,Balbriggan,0,10, ,Pre 2021,"-6° 10' 58.255""","53° 36' 54.182""", ,0,720230.1417,764337.5545,
720489.4559,763335.0463,100,"Lidl, Balbriggan ",Balbriggan,0, ,6,Pre 2021,"-6° 10' 45.549""","53° 36' 21.552""", ,0,720489.4559,763335.0463,
720145.62,763145.17,101,Church of St. Peter and Paul,Balbriggan,0, ,8,Pre 2021,"-6° 11' 4.506""","53° 36' 15.696""", ,0,720145.62,763145.17,
718675.932,764092.6557,102,Castle Mill Shopping Centre ,Balbriggan ,0, ,5,Pre 2021,"-6° 12' 23.110""","53° 36' 47.539""", ,0,718675.932,764092.6557,
721963.37,761163.04,103,Ardgillan Castle,Balbriggan,0,8, ,Pre 2021,"-6° 9' 28.472""","53° 35' 10.093""", ,0,721963.37,761163.04,
722395.35,761293.59,104,Ardgillan Castle - Skerries Road,Balbriggan,0,8, ,Pre 2021,"-6° 9' 4.813""","53° 35' 13.952""", ,0,722395.35,761293.59,
724580.42,759879.98,105,Skerries Train Station,Rush_Lusk,0, ,50,Pre 2021,"-6° 7' 8.101""","53° 34' 26.393""", ,0,724580.42,759879.98,
725440.49,761185.29,106,Skerries - Harbour,Rush_Lusk,0,10, ,Pre 2021,"-6° 6' 19.490""","53° 35' 7.861""", ,0,725440.49,761185.29,
725539.61,761197.17,107,Skerries Red Island,Rush_Lusk,0,8, ,Pre 2021,"-6° 6' 14.087""","53° 35' 8.160""", ,0,725539.61,761197.17,
725800.5307,761160.0653,108,Skerries Red Island,Rush_Lusk,0,4, ,Pre 2021,"-6° 5' 59.962""","53° 35' 6.735""", ,0,725800.5307,761160.0653,
725782.2744,761043.3838,109,Skerries Red Island,Rush_Lusk,0,4, ,Pre 2021,"-6° 6' 1.124""","53° 35' 2.978""", ,0,725782.2744,761043.3838,
725489.2257,760465.5017,110,Skerries South Strand,Rush_Lusk,0,8, ,Pre 2021,"-6° 6' 17.883""","53° 34' 44.546""", ,0,725489.2257,760465.5017,
725343.2,760349.22,111,Supervalue,Rush_Lusk,0,6, ,Pre 2021,"-6° 6' 25.985""","53° 34' 40.911""", ,0,725343.2,760349.22,
725463.4288,760213.0887,112,"Strand St, Church St",Rush_Lusk,0,6, ,Pre 2021,"-6° 6' 19.650""","53° 34' 36.406""", ,0,725463.4288,760213.0887,
725406.6756,760374.6172,113,St Patricks Church,Rush_Lusk,0,8, ,Pre 2021,"-6° 6' 22.500""","53° 34' 41.678""", ,0,725406.6756,760374.6172,
725070.2814,760298.4281,114,Skerries Hockey Club,Rush_Lusk,0, ,18,Pre 2021,"-6° 6' 40.886""","53° 34' 39.504""", ,0,725070.2814,760298.4281,
721900.4565,761170.2319,115,Ardgillan Castle,Balbriggan,0,5, ,Pre 2021,"-6° 9' 31.881""","53° 35' 10.378""", ,0,721900.4565,761170.2319,
722354.6103,745990.9689,116,Malahide Demesne Carpark - Dublin Road,Howth - Malahide ,0,10, ,Pre 2021,"-6° 9' 28.532""","53° 26' 59.173""", ,0,722354.6103,745990.9689,
722487.5579,746070.4587,117,Malahide - Main Street,Howth - Malahide,0,2, ,Pre 2021,"-6° 9' 21.219""","53° 27' 1.632""", ,0,722487.5579,746070.4587,
722491.7913,746104.8546,118,Malahide Train Station,Howth - Malahide ,0, ,92,Pre 2021,"-6° 9' 20.941""","53° 27' 2.741""", ,0,722491.7913,746104.8546,
722660.2624,746274.9146,119,Anna Livia Statue,Howth - Malahide ,0,30, ,Pre 2021,"-6° 9' 11.577""","53° 27' 8.099""", ,0,722660.2624,746274.9146,
722620.9453,746177.9711,120,New Street,Howth - Malahide ,0,6, ,Pre 2021,"-6° 9' 13.843""","53° 27' 4.997""", ,0,722620.9453,746177.9711,
722783.9289,746222.7739,121,James Terrace,Howth - Malahide,0,20, ,Pre 2021,"-6° 9' 4.951""","53° 27' 6.309""", ,0,722783.9289,746222.7739,
723532.22,746114.47,122,Malahide Beach,Howth - Malahide ,0,8, ,Pre 2021,"-6° 8' 24.569""","53° 27' 2.178""", ,0,723532.22,746114.47,
724414.3145,745459.961,123,Portmarnock (Beach Access),Castleknock,0,11, ,Pre 2021,"-6° 7' 37.719""","53° 26' 40.268""", ,0,724414.3145,745459.961,
724531.3929,745332.167,124,Robwalls Playground,Castleknock,0,10, ,Pre 2021,"-6° 7' 31.560""","53° 26' 36.036""", ,0,724531.3929,745332.167,
724663.4866,744296.2762,125,Portmarnock (Beach Access),Castleknock,0,10, ,Pre 2021,"-6° 7' 25.882""","53° 26' 2.428""", ,0,724663.4866,744296.2762,
724628.8762,744267.9009,126,"Starnd Rd, Portmarnock",Castleknock,0,2, ,Pre 2021,"-6° 7' 27.796""","53° 26' 1.540""", ,0,724628.8762,744267.9009,
724189.9977,744401.8465,127,Dunnes Wendell Road,Castleknock,0, ,8,Pre 2021,"-6° 7' 51.370""","53° 26' 6.244""", ,0,724189.9977,744401.8465,
723887.8134,742910.406,128,"Starnd Rd, Portmarnock, St Marnocks",Castleknock,0,2, ,Pre 2021,"-6° 8' 9.844""","53° 25' 18.273""", ,0,723887.8134,742910.406,
723768.7506,742808.5412,129,Portmarnock - Lidl,Castleknock,0, ,12,Pre 2021,"-6° 8' 16.433""","53° 25' 15.080""", ,0,723768.7506,742808.5412,
724501.69,740440.13,130,Baldoyle Village  - library,Howth - Malahide ,0,10, ,Pre 2021,"-6° 7' 40.123""","53° 23' 57.876""", ,0,724501.69,740440.13,
724555.7112,740292.2164,131,Baldoyle Village - The White House,Howth - Malahide ,0,2, ,Pre 2021,"-6° 7' 37.410""","53° 23' 53.047""", ,0,724555.7112,740292.2164,
724044.58,740131.34,132,Baldoyle Park,Howth - Malahide ,0,10, ,Pre 2021,"-6° 8' 5.291""","53° 23' 48.278""", ,0,724044.58,740131.34,
723903.9088,740459.1027,133,Playground - Baldoyle Racecourse Park,Howth - Malahide ,0,5, ,Pre 2021,"-6° 8' 12.438""","53° 23' 58.996""", ,0,723903.9088,740459.1027,
725728.06,739361.24,134,Sutton Cross,Howth - Malahide ,0,10, ,Pre 2021,"-6° 6' 35.320""","53° 23' 21.944""", ,0,725728.06,739361.24,
726259.9306,739645.1055,135,Entrance Burrow Beach ,Howth - Malahide  ,0,10, ,Pre 2021,"-6° 6' 6.142""","53° 23' 30.667""", ,0,726259.9306,739645.1055,
729453.6232,737388.8809,136,Summit Car Park,Howth - Malahide  ,0,8, ,Pre 2021,"-6° 3' 16.718""","53° 22' 14.931""", ,0,729453.6232,737388.8809,
727167.7087,754220.0348,137,Rush Harbour,Rush_Lusk,0,10, ,Pre 2021,"-6° 4' 55.829""","53° 31' 21.152""", ,0,727167.7087,754220.0348,
726546.4,753767.09,138,South Beach Car Park,Rush_Lusk,0,10, ,Pre 2021,"-6° 5' 30.199""","53° 31' 7.046""", ,0,726546.4,753767.09,
726301.7112,754132.8552,139,"Rush, Echlin Court (SuperValu seating area)",Rush_Lusk,0,3, ,Pre 2021,"-6° 5' 42.944""","53° 31' 19.085""", ,0,726301.7112,754132.8552,
725878.6624,754206.3196,140,Tesco - Whitestown Road,Rush_Lusk,0, ,14,Pre 2021,"-6° 6' 5.791""","53° 31' 21.825""", ,0,725878.6624,754206.3196,
702205.2039,736287.6683,141,St. Catherines Park,Castleknock,0,8, ,Pre 2021,"-6° 27' 51.447""","53° 22' 0.808""", ,0,702205.2039,736287.6683,
702096.4599,736329.3402,142,St. Catherines Park,Castleknock,0,8, ,Pre 2021,"-6° 27' 57.279""","53° 22' 2.232""", ,0,702096.4599,736329.3402,
706400.4365,738780.2312,143,Millennium Park,Blanchardstown - Mu,0,8, ,Pre 2021,"-6° 24' 1.590""","53° 23' 18.439""", ,0,706400.4365,738780.2312,
703769.0445,739524.2816,144,Ongar Village,Ongar,0,2, ,Pre 2021,"-6° 26' 23.063""","53° 23' 44.386""", ,0,703769.0445,739524.2816,
